Probabilities:
Number: 1, Probability: 4.428900063357943e-06, Refund 119.997, Cost 0.0005314547209027632
Number: 102, Probability: 4.725457813936629e-06, Refund 119.694, Cost 0.0005656089475813309
Number: 103, Probability: 4.728488017802235e-06, Refund 119.691, Cost 0.0005659574593387673
Number: 104, Probability: 4.731520103495868e-06, Refund 119.688, Cost 0.0005663061781472134
Number: 105, Probability: 4.734554071017527e-06, Refund 119.685, Cost 0.0005666551039897327
Number: 106, Probability: 4.737589920367213e-06, Refund 119.682, Cost 0.0005670042368493888
Number: 107, Probability: 4.7406276570960415e-06, Refund 119.679, Cost 0.0005673535773735971
Number: 108, Probability: 4.743667275652896e-06, Refund 119.676, Cost 0.000567703124881036
Number: 109, Probability: 4.746708781588893e-06, Refund 119.673, Cost 0.0005680528800190876
Number: 110, Probability: 4.749752180455147e-06, Refund 119.67, Cost 0.0005684028434350674
Number: 111, Probability: 4.752797461149427e-06, Refund 119.667, Cost 0.0005687530137833685
Number: 112, Probability: 4.755844634773965e-06, Refund 119.664, Cost 0.0005691033923755917
Number: 113, Probability: 4.758893701328759e-06, Refund 119.661, Cost 0.0005694539791947006
Number: 114, Probability: 4.761944655262695e-06, Refund 119.658, Cost 0.0005698047735594236
Number: 115, Probability: 4.764997507678004e-06, Refund 119.655, Cost 0.0005701557767812115
Number: 116, Probability: 4.768052253023569e-06, Refund 119.652, Cost 0.0005705069881787761
Number: 117, Probability: 4.771108896850507e-06, Refund 119.649, Cost 0.0005708584083992663
Number: 118, Probability: 4.774167433607701e-06, Refund 119.646, Cost 0.000571210036761427
Number: 119, Probability: 4.777227868846268e-06, Refund 119.643, Cost 0.000571561873912374
Number: 120, Probability: 4.780290202566206e-06, Refund 119.64, Cost 0.0005719139198350209
Number: 121, Probability: 4.783354440318632e-06, Refund 119.637, Cost 0.0005722661751764002
Number: 122, Probability: 4.78642057655243e-06, Refund 119.634, Cost 0.0005726186392552735
Number: 123, Probability: 4.789488616818716e-06, Refund 119.631, Cost 0.0005729713127186397
Number: 124, Probability: 4.792558555566373e-06, Refund 119.628, Cost 0.000573324194885294
Number: 125, Probability: 4.795630403897633e-06, Refund 119.625, Cost 0.0005736772870662543
Number: 126, Probability: 4.79870415626138e-06, Refund 119.622, Cost 0.0005740305885802988
Number: 127, Probability: 4.801779818208729e-06, Refund 119.619, Cost 0.00057438410007431
Number: 128, Probability: 4.804857389739681e-06, Refund 119.616, Cost 0.0005747378215311017
Number: 129, Probability: 4.80793686530312e-06, Refund 119.613, Cost 0.000575091752269502
Number: 130, Probability: 4.811018256001276e-06, Refund 119.61, Cost 0.0005754458936003126
Number: 131, Probability: 4.814101556283035e-06, Refund 119.607, Cost 0.000575800244842345
Number: 132, Probability: 4.817186771699511e-06, Refund 119.604, Cost 0.0005761548066423483
Number: 133, Probability: 4.8202738966995895e-06, Refund 119.601, Cost 0.0005765095783191676
Number: 134, Probability: 4.8233629368343856e-06, Refund 119.598, Cost 0.0005768645605195189
Number: 135, Probability: 4.826453897655014e-06, Refund 119.595, Cost 0.0005772197538900514
Number: 136, Probability: 4.82954677361036e-06, Refund 119.592, Cost 0.0005775751577496102
Number: 137, Probability: 4.832641570251539e-06, Refund 119.589, Cost 0.0005779307727448113
Number: 138, Probability: 4.835738282027435e-06, Refund 119.586, Cost 0.0005782865981945329
Number: 139, Probability: 4.838836920040279e-06, Refund 119.583, Cost 0.0005786426354091768
Number: 140, Probability: 4.841937473187841e-06, Refund 119.58, Cost 0.000578998883043802
Number: 141, Probability: 4.845039958123465e-06, Refund 119.577, Cost 0.0005793553430725295
Number: 142, Probability: 4.848144358193807e-06, Refund 119.574, Cost 0.0005797120134866662
Number: 143, Probability: 4.851250690052211e-06, Refund 119.571, Cost 0.0005800688962602329
Number: 144, Probability: 4.8543589481475635e-06, Refund 119.568, Cost 0.0005804259907121079
Number: 145, Probability: 4.8574691324798636e-06, Refund 119.565, Cost 0.0005807832968249549
Number: 146, Probability: 4.860581243049111e-06, Refund 119.562, Cost 0.0005811408145814378
Number: 147, Probability: 4.863695290957537e-06, Refund 119.559, Cost 0.0005814985452915921
Number: 148, Probability: 4.8668112651029105e-06, Refund 119.556, Cost 0.0005818564876106435
Number: 149, Probability: 4.869929171036347e-06, Refund 119.553, Cost 0.0005822146421849084
Number: 150, Probability: 4.873049008757846e-06, Refund 119.55, Cost 0.0005825730089970005
Number: 151, Probability: 4.876170783818523e-06, Refund 119.547, Cost 0.000582931588693153
Number: 152, Probability: 4.879294496218378e-06, Refund 119.544, Cost 0.0005832903812559298
Number: 153, Probability: 4.882420145957411e-06, Refund 119.541, Cost 0.0005836493866678949
Number: 154, Probability: 4.885547733035622e-06, Refund 119.538, Cost 0.0005840086049116122
Number: 155, Probability: 4.888677257453011e-06, Refund 119.535, Cost 0.0005843680359696457
Number: 156, Probability: 4.891808724760693e-06, Refund 119.532, Cost 0.0005847276804880952
Number: 157, Probability: 4.8949421294075535e-06, Refund 119.529, Cost 0.0005850875377859554
Number: 158, Probability: 4.898077482495822e-06, Refund 119.526, Cost 0.0005854476091727955
Number: 159, Probability: 4.901214772923268e-06, Refund 119.523, Cost 0.0005858078933041077
Number: 160, Probability: 4.9043540117921225e-06, Refund 119.52, Cost 0.0005861683914893945
Number: 161, Probability: 4.907495199102385e-06, Refund 119.517, Cost 0.0005865291037111198
Number: 162, Probability: 4.910638334854056e-06, Refund 119.514, Cost 0.0005868900299517476
Number: 163, Probability: 4.91378341349602e-06, Refund 119.511, Cost 0.0005872511695303228
Number: 164, Probability: 4.9169304461305074e-06, Refund 119.508, Cost 0.0005876125237561647
Number: 165, Probability: 4.920079427206403e-06, Refund 119.505, Cost 0.0005879740919483012
Number: 166, Probability: 4.923230362274822e-06, Refund 119.502, Cost 0.0005883358747525658
Number: 167, Probability: 4.926383251335764e-06, Refund 119.499, Cost 0.0005886978721513725
Number: 168, Probability: 4.92953809438923e-06, Refund 119.496, Cost 0.0005890600841271354
Number: 169, Probability: 4.932694891435219e-06, Refund 119.493, Cost 0.0005894225106622686
Number: 170, Probability: 4.935853648024846e-06, Refund 119.49, Cost 0.0005897851524024889
Number: 171, Probability: 4.939014358606997e-06, Refund 119.487, Cost 0.0005901480086668742
Number: 172, Probability: 4.942177034283901e-06, Refund 119.484, Cost 0.0005905110807643777
Number: 173, Probability: 4.945341663953329e-06, Refund 119.481, Cost 0.0005908743673508077
Number: 174, Probability: 4.94850825871751e-06, Refund 119.478, Cost 0.0005912378697350507
Number: 175, Probability: 4.95167681302533e-06, Refund 119.475, Cost 0.0005916015872362013
Number: 176, Probability: 4.954847332427903e-06, Refund 119.472, Cost 0.0005919655204998264
Number: 177, Probability: 4.95801981692523e-06, Refund 119.469, Cost 0.0005923296695082402
Number: 178, Probability: 4.9611942720684254e-06, Refund 119.466, Cost 0.0005926940349069265
Number: 179, Probability: 4.9643706867552595e-06, Refund 119.463, Cost 0.0005930586153518435
Number: 180, Probability: 4.967549077639077e-06, Refund 119.46, Cost 0.0005934234128147642
Number: 181, Probability: 4.970729433617649e-06, Refund 119.457, Cost 0.0005937884259516634
Number: 182, Probability: 4.973911760242089e-06, Refund 119.454, Cost 0.0005941536554079585
Number: 183, Probability: 4.977096063063513e-06, Refund 119.451, Cost 0.0005945191018289996
Number: 184, Probability: 4.980282330979691e-06, Refund 119.448, Cost 0.000594884763870862
Number: 185, Probability: 4.983470580643967e-06, Refund 119.445, Cost 0.0005952506435050187
Number: 186, Probability: 4.986660806505228e-06, Refund 119.442, Cost 0.0005956167400505974
Number: 187, Probability: 4.989853003012357e-06, Refund 119.439, Cost 0.0005959830528267929
Number: 188, Probability: 4.993047181267585e-06, Refund 119.436, Cost 0.0005963495831418753
Number: 189, Probability: 4.996243335719797e-06, Refund 119.433, Cost 0.0005967163303150225
Number: 190, Probability: 4.999441477471223e-06, Refund 119.43, Cost 0.0005970832956543881
Number: 191, Probability: 5.002641595419632e-06, Refund 119.427, Cost 0.0005974504778161805
Number: 192, Probability: 5.005843695116141e-06, Refund 119.424, Cost 0.0005978178774455501
Number: 193, Probability: 5.009047782111864e-06, Refund 119.421, Cost 0.0005981854951875809
Number: 194, Probability: 5.012253850855686e-06, Refund 119.418, Cost 0.0005985533303614843
Number: 195, Probability: 5.015461906898722e-06, Refund 119.415, Cost 0.0005989213836123108
Number: 196, Probability: 5.0186719502409716e-06, Refund 119.412, Cost 0.0005992896549221749
Number: 197, Probability: 5.021883986433551e-06, Refund 119.409, Cost 0.0005996581449360438
Number: 198, Probability: 5.025098004374229e-06, Refund 119.406, Cost 0.0006000268523103092
Number: 199, Probability: 5.028314020716351e-06, Refund 119.403, Cost 0.0006003957790155945
Number: 200, Probability: 5.031532024357688e-06, Refund 119.4, Cost 0.0006007649237083079
Number: 201, Probability: 5.034752026400469e-06, Refund 119.397, Cost 0.0006011342876961368
Number: 202, Probability: 5.0379740157424635e-06, Refund 119.394, Cost 0.0006015038696355557
Number: 203, Probability: 5.041198009037018e-06, Refund 119.391, Cost 0.0006018736714969386
Number: 204, Probability: 5.0444239951819014e-06, Refund 119.388, Cost 0.0006022436919367769
Number: 205, Probability: 5.047651979728229e-06, Refund 119.385, Cost 0.0006026139315998547
Number: 206, Probability: 5.0508819626760015e-06, Refund 119.382, Cost 0.0006029843904681864
Number: 207, Probability: 5.054113944025218e-06, Refund 119.379, Cost 0.0006033550685237866
Number: 208, Probability: 5.057347934878109e-06, Refund 119.376, Cost 0.0006037259670740091
Number: 209, Probability: 5.060583924132445e-06, Refund 119.373, Cost 0.0006040970847754623
Number: 210, Probability: 5.0638219173393395e-06, Refund 119.37, Cost 0.000604468422272797
Number: 211, Probability: 5.067061914498794e-06, Refund 119.367, Cost 0.0006048399795479776
Number: 212, Probability: 5.070303915610808e-06, Refund 119.364, Cost 0.0006052117565829685
Number: 213, Probability: 5.073547931777611e-06, Refund 119.361, Cost 0.0006055837546849075
Number: 214, Probability: 5.076793951896974e-06, Refund 119.358, Cost 0.0006059559725105191
Number: 215, Probability: 5.0800419815200115e-06, Refund 119.355, Cost 0.000606328410704321
Number: 216, Probability: 5.083292026197839e-06, Refund 119.352, Cost 0.0006067010699107644
Number: 217, Probability: 5.0865440803793405e-06, Refund 119.349, Cost 0.0006070739494491939
Number: 218, Probability: 5.089798149615632e-06, Refund 119.346, Cost 0.0006074470499640273
Number: 219, Probability: 5.093054233906713e-06, Refund 119.343, Cost 0.0006078203714371289
Number: 220, Probability: 5.096312338803699e-06, Refund 119.34, Cost 0.0006081939145128334
Number: 221, Probability: 5.09957245320436e-06, Refund 119.337, Cost 0.0006085676778480487
Number: 222, Probability: 5.102834588210925e-06, Refund 119.334, Cost 0.0006089416627495626
Number: 223, Probability: 5.106098743823395e-06, Refund 119.331, Cost 0.0006093158691991895
Number: 224, Probability: 5.10936492004177e-06, Refund 119.328, Cost 0.0006096902971787444
Number: 225, Probability: 5.112633122417165e-06, Refund 119.325, Cost 0.0006100649473324282
Number: 226, Probability: 5.115903345398465e-06, Refund 119.322, Cost 0.0006104398189796357
Number: 227, Probability: 5.119175588985669e-06, Refund 119.319, Cost 0.0006108149121021811
Number: 228, Probability: 5.122449864281009e-06, Refund 119.316, Cost 0.0006111902280065529
Number: 229, Probability: 5.125726165733369e-06, Refund 119.313, Cost 0.0006115657660121454
Number: 230, Probability: 5.129004493342748e-06, Refund 119.31, Cost 0.0006119415261007233
Number: 231, Probability: 5.1322848471091476e-06, Refund 119.307, Cost 0.0006123175082540511
Number: 232, Probability: 5.135567238134797e-06, Refund 119.304, Cost 0.0006126937137784338
Number: 233, Probability: 5.138851655317467e-06, Refund 119.301, Cost 0.0006130701413310291
Number: 234, Probability: 5.1421381097593866e-06, Refund 119.298, Cost 0.0006134467922180753
Number: 235, Probability: 5.145426595909441e-06, Refund 119.295, Cost 0.0006138236657590168
Number: 236, Probability: 5.1487171193187464e-06, Refund 119.292, Cost 0.0006142007625977719
Number: 237, Probability: 5.152009679987302e-06, Refund 119.289, Cost 0.0006145780827160052
Number: 238, Probability: 5.155304277915107e-06, Refund 119.286, Cost 0.0006149556260953814
Number: 239, Probability: 5.158600913102163e-06, Refund 119.283, Cost 0.0006153333927175653
Number: 240, Probability: 5.1618995910995835e-06, Refund 119.28, Cost 0.0006157113832263583
Number: 241, Probability: 5.165200306356255e-06, Refund 119.277, Cost 0.000616089596941255
Number: 242, Probability: 5.168503069974406e-06, Refund 119.274, Cost 0.0006164680351681273
Number: 243, Probability: 5.171807876402923e-06, Refund 119.271, Cost 0.000616846697226453
Number: 244, Probability: 5.175114725641805e-06, Refund 119.268, Cost 0.0006172255830978468
Number: 245, Probability: 5.178423623242168e-06, Refund 119.265, Cost 0.0006176046934259771
Number: 246, Probability: 5.1817345636528955e-06, Refund 119.262, Cost 0.0006179840275303717
Number: 247, Probability: 5.185047557976219e-06, Refund 119.259, Cost 0.0006183635867166859
Number: 248, Probability: 5.188362600661023e-06, Refund 119.256, Cost 0.0006187433703044309
Number: 249, Probability: 5.191679697258422e-06, Refund 119.253, Cost 0.0006191233789371586
Number: 250, Probability: 5.194998842217302e-06, Refund 119.25, Cost 0.0006195036119344133
Number: 251, Probability: 5.198320046639893e-06, Refund 119.247, Cost 0.0006198840706016673
Number: 252, Probability: 5.201643299423964e-06, Refund 119.244, Cost 0.0006202647535965111
Number: 253, Probability: 5.204968611671745e-06, Refund 119.241, Cost 0.0006206456622243506
Number: 254, Probability: 5.208295983383238e-06, Refund 119.238, Cost 0.0006210267964666504
Number: 255, Probability: 5.2116254090073255e-06, Refund 119.235, Cost 0.0006214081556429885
Number: 256, Probability: 5.214956899646239e-06, Refund 119.232, Cost 0.0006217897410586204
Number: 257, Probability: 5.218290449748864e-06, Refund 119.229, Cost 0.0006221715520331073
Number: 258, Probability: 5.221626059315199e-06, Refund 119.226, Cost 0.0006225535885479138
Number: 259, Probability: 5.224963739447475e-06, Refund 119.223, Cost 0.0006229358519081463
Number: 260, Probability: 5.228303479043461e-06, Refund 119.22, Cost 0.0006233183407715615
Number: 261, Probability: 5.231645283654274e-06, Refund 119.217, Cost 0.0006237010557814116
Number: 262, Probability: 5.234989158831027e-06, Refund 119.214, Cost 0.000624083997580882
Number: 263, Probability: 5.238335099022606e-06, Refund 119.211, Cost 0.0006244671654895839
Number: 264, Probability: 5.241683109780126e-06, Refund 119.208, Cost 0.0006248505601506693
Number: 265, Probability: 5.245033196654703e-06, Refund 119.205, Cost 0.0006252341822072238
Number: 266, Probability: 5.2483853485441045e-06, Refund 119.202, Cost 0.0006256180303171544
Number: 267, Probability: 5.251739582101678e-06, Refund 119.199, Cost 0.0006260021064469379
Number: 268, Probability: 5.255095880674077e-06, Refund 119.196, Cost 0.0006263864085928273
Number: 269, Probability: 5.258454260914647e-06, Refund 119.193, Cost 0.0006267709387211994
Number: 270, Probability: 5.261814717272273e-06, Refund 119.19, Cost 0.0006271556961516822
Number: 271, Probability: 5.26517725529807e-06, Refund 119.187, Cost 0.0006275406815272111
Number: 272, Probability: 5.268541869440924e-06, Refund 119.184, Cost 0.000627925894167447
Number: 273, Probability: 5.271908565251948e-06, Refund 119.181, Cost 0.0006283113347152924
Number: 274, Probability: 5.275277342731144e-06, Refund 119.178, Cost 0.0006286970031520123
Number: 275, Probability: 5.278648201878511e-06, Refund 119.175, Cost 0.0006290828994588715
Number: 276, Probability: 5.282021148245164e-06, Refund 119.172, Cost 0.0006294690242786726
Number: 277, Probability: 5.2853961818311035e-06, Refund 119.169, Cost 0.0006298553775926308
Number: 278, Probability: 5.288773302636329e-06, Refund 119.166, Cost 0.0006302419593819608
Number: 279, Probability: 5.292152510660841e-06, Refund 119.163, Cost 0.0006306287696278779
Number: 280, Probability: 5.29553380590464e-06, Refund 119.16, Cost 0.0006310158083115969
Number: 281, Probability: 5.2989171939188395e-06, Refund 119.157, Cost 0.0006314030760757872
Number: 282, Probability: 5.302302674703441e-06, Refund 119.154, Cost 0.0006317905729016138
Number: 283, Probability: 5.305690248258443e-06, Refund 119.151, Cost 0.0006321782987702418
Number: 284, Probability: 5.3090799145838474e-06, Refund 119.148, Cost 0.0006325662536628363
Number: 285, Probability: 5.312471679230768e-06, Refund 119.145, Cost 0.0006329544382219499
Number: 286, Probability: 5.315865542199205e-06, Refund 119.142, Cost 0.0006333428524286977
Number: 287, Probability: 5.319261497938044e-06, Refund 119.139, Cost 0.0006337314956028406
Number: 288, Probability: 5.322659557549514e-06, Refund 119.136, Cost 0.0006341203690482189
Number: 289, Probability: 5.326059715482501e-06, Refund 119.133, Cost 0.0006345094720845767
Number: 290, Probability: 5.329461977288119e-06, Refund 119.13, Cost 0.0006348988053543336
Number: 291, Probability: 5.332866342966369e-06, Refund 119.127, Cost 0.0006352883688385547
Number: 292, Probability: 5.336272812517251e-06, Refund 119.124, Cost 0.000635678162518305
Number: 293, Probability: 5.3396813914918795e-06, Refund 119.121, Cost 0.0006360681870359042
Number: 294, Probability: 5.34309207433914e-06, Refund 119.118, Cost 0.0006364584417111296
Number: 295, Probability: 5.346504866610147e-06, Refund 119.115, Cost 0.0006368489271862676
Number: 296, Probability: 5.3499197683049005e-06, Refund 119.112, Cost 0.0006372396434423333
Number: 297, Probability: 5.353336779423401e-06, Refund 119.109, Cost 0.0006376305904603419
Number: 298, Probability: 5.356755899965648e-06, Refund 119.106, Cost 0.0006380217682213085
Number: 299, Probability: 5.360177141033873e-06, Refund 119.103, Cost 0.0006384131780285573
Number: 300, Probability: 5.363600491525844e-06, Refund 119.1, Cost 0.000638804818540728
Number: 301, Probability: 5.367025956992677e-06, Refund 119.097, Cost 0.0006391966903999568
Number: 302, Probability: 5.370453542985487e-06, Refund 119.094, Cost 0.0006395887942483136
Number: 303, Probability: 5.373883249504274e-06, Refund 119.091, Cost 0.0006399811300667136
Number: 304, Probability: 5.377315070997923e-06, Refund 119.088, Cost 0.0006403736971750006
Number: 305, Probability: 5.380749018568665e-06, Refund 119.085, Cost 0.0006407664968762494
Number: 306, Probability: 5.384185081114268e-06, Refund 119.082, Cost 0.0006411595278292491
Number: 307, Probability: 5.387623275288078e-06, Refund 119.079, Cost 0.000641552791998029
Number: 308, Probability: 5.391063589987866e-06, Refund 119.076, Cost 0.000641946288041395
Number: 309, Probability: 5.394506030764745e-06, Refund 119.073, Cost 0.0006423400166012505
Number: 310, Probability: 5.397950597618717e-06, Refund 119.07, Cost 0.0006427339776584606
Number: 311, Probability: 5.401397296100896e-06, Refund 119.067, Cost 0.0006431281718548453
Number: 312, Probability: 5.404846120660167e-06, Refund 119.064, Cost 0.0006435225985102821
Number: 313, Probability: 5.408297082398761e-06, Refund 119.061, Cost 0.0006439172589274789
Number: 314, Probability: 5.411750170214447e-06, Refund 119.058, Cost 0.0006443121517653917
Number: 315, Probability: 5.415205395209455e-06, Refund 119.055, Cost 0.0006447072783266616
Number: 316, Probability: 5.41866275183267e-06, Refund 119.052, Cost 0.0006451026379311831
