Probabilities:
Mile Number: 1, Probability: 3.6366178509716907e-05, Refund 119.997, Cost 5.314547209027631e-06
Mile Number: 26, Probability: 3.6366178509716907e-05, Refund 119.922, Cost 5.397187275506088e-06
Mile Number: 27, Probability: 3.6366178509716907e-05, Refund 119.919, Cost 5.400518508843432e-06
Mile Number: 28, Probability: 3.6366178509716907e-05, Refund 119.916, Cost 5.403851725513942e-06
Mile Number: 29, Probability: 3.6366178509716907e-05, Refund 119.913, Cost 5.407186925355745e-06
Mile Number: 30, Probability: 3.6366178509716907e-05, Refund 119.91, Cost 5.410524108206971e-06
Mile Number: 31, Probability: 3.6366178509716907e-05, Refund 119.907, Cost 5.41386327390575e-06
Mile Number: 32, Probability: 3.6366178509716907e-05, Refund 119.904, Cost 5.4172044289462205e-06
Mile Number: 33, Probability: 3.6366178509716907e-05, Refund 119.901, Cost 5.420547573166012e-06
Mile Number: 34, Probability: 3.6366178509716907e-05, Refund 119.898, Cost 5.423892699747079e-06
Mile Number: 35, Probability: 3.6366178509716907e-05, Refund 119.895, Cost 5.427239821838569e-06
Mile Number: 36, Probability: 3.6366178509716907e-05, Refund 119.892, Cost 5.430588932622271e-06
Mile Number: 37, Probability: 3.6366178509716907e-05, Refund 119.889, Cost 5.43394003859099e-06
Mile Number: 38, Probability: 3.6366178509716907e-05, Refund 119.886, Cost 5.437293132926846e-06
Mile Number: 39, Probability: 3.6366178509716907e-05, Refund 119.883, Cost 5.440648222122313e-06
Mile Number: 40, Probability: 3.6366178509716907e-05, Refund 119.88, Cost 5.444005306014521e-06
Mile Number: 41, Probability: 3.6366178509716907e-05, Refund 119.877, Cost 5.447364391095111e-06
Mile Number: 42, Probability: 3.6366178509716907e-05, Refund 119.874, Cost 5.450725470546369e-06
Mile Number: 43, Probability: 3.6366178509716907e-05, Refund 119.871, Cost 5.454088550859604e-06
Mile Number: 44, Probability: 3.6366178509716907e-05, Refund 119.868, Cost 5.457453625217434e-06
Mile Number: 45, Probability: 3.6366178509716907e-05, Refund 119.865, Cost 5.460820706764679e-06
Mile Number: 46, Probability: 3.6366178509716907e-05, Refund 119.862, Cost 5.464189788683793e-06
Mile Number: 47, Probability: 3.6366178509716907e-05, Refund 119.859, Cost 5.467560877464916e-06
Mile Number: 48, Probability: 3.6366178509716907e-05, Refund 119.856, Cost 5.470933966290836e-06
Mile Number: 49, Probability: 3.6366178509716907e-05, Refund 119.853, Cost 5.474309061651361e-06
Mile Number: 50, Probability: 3.6366178509716907e-05, Refund 119.85, Cost 5.477686163382622e-06
Mile Number: 51, Probability: 3.6366178509716907e-05, Refund 119.847, Cost 5.481065271320751e-06
Mile Number: 52, Probability: 3.6366178509716907e-05, Refund 119.844, Cost 5.484446391954556e-06
Mile Number: 53, Probability: 3.6366178509716907e-05, Refund 119.841, Cost 5.487829525119669e-06
Mile Number: 54, Probability: 3.6366178509716907e-05, Refund 119.838, Cost 5.491214663999377e-06
Mile Number: 55, Probability: 3.6366178509716907e-05, Refund 119.835, Cost 5.49460181508199e-06
Mile Number: 56, Probability: 3.6366178509716907e-05, Refund 119.832, Cost 5.49799098485515e-06
Mile Number: 57, Probability: 3.6366178509716907e-05, Refund 119.829, Cost 5.501382166502144e-06
Mile Number: 58, Probability: 3.6366178509716907e-05, Refund 119.826, Cost 5.504775366510283e-06
Mile Number: 59, Probability: 3.6366178509716907e-05, Refund 119.823, Cost 5.508170578063187e-06
Mile Number: 60, Probability: 3.6366178509716907e-05, Refund 119.82, Cost 5.511567814299178e-06
Mile Number: 61, Probability: 3.6366178509716907e-05, Refund 119.817, Cost 5.5149670684017106e-06
Mile Number: 62, Probability: 3.6366178509716907e-05, Refund 119.814, Cost 5.518368340205914e-06
Mile Number: 63, Probability: 3.6366178509716907e-05, Refund 119.811, Cost 5.52177163619777e-06
Mile Number: 64, Probability: 3.6366178509716907e-05, Refund 119.808, Cost 5.525176956211908e-06
Mile Number: 65, Probability: 3.6366178509716907e-05, Refund 119.805, Cost 5.528584293432448e-06
Mile Number: 66, Probability: 3.6366178509716907e-05, Refund 119.802, Cost 5.531993660995216e-06
Mile Number: 67, Probability: 3.6366178509716907e-05, Refund 119.799, Cost 5.5354050587343444e-06
Mile Number: 68, Probability: 3.6366178509716907e-05, Refund 119.796, Cost 5.538818479833951e-06
Mile Number: 69, Probability: 3.6366178509716907e-05, Refund 119.793, Cost 5.542233930778517e-06
Mile Number: 70, Probability: 3.6366178509716907e-05, Refund 119.79, Cost 5.545651411402175e-06
Mile Number: 71, Probability: 3.6366178509716907e-05, Refund 119.787, Cost 5.549070921539057e-06
Mile Number: 72, Probability: 3.6366178509716907e-05, Refund 119.784, Cost 5.552492461023295e-06
Mile Number: 73, Probability: 3.6366178509716907e-05, Refund 119.781, Cost 5.555916036338205e-06
Mile Number: 74, Probability: 3.6366178509716907e-05, Refund 119.778, Cost 5.559341647317417e-06
Mile Number: 75, Probability: 3.6366178509716907e-05, Refund 119.775, Cost 5.5627692937945675e-06
Mile Number: 76, Probability: 3.6366178509716907e-05, Refund 119.772, Cost 5.566198982251969e-06
Mile Number: 77, Probability: 3.6366178509716907e-05, Refund 119.769, Cost 5.5696306992257255e-06
Mile Number: 78, Probability: 3.6366178509716907e-05, Refund 119.766, Cost 5.573064464495014e-06
Mile Number: 79, Probability: 3.6366178509716907e-05, Refund 119.763, Cost 5.576500264596107e-06
Mile Number: 80, Probability: 3.6366178509716907e-05, Refund 119.76, Cost 5.579938106010651e-06
Mile Number: 81, Probability: 3.6366178509716907e-05, Refund 119.757, Cost 5.583377988571781e-06
Mile Number: 82, Probability: 3.6366178509716907e-05, Refund 119.754, Cost 5.586819918760311e-06
Mile Number: 83, Probability: 3.6366178509716907e-05, Refund 119.751, Cost 5.59026388976136e-06
Mile Number: 84, Probability: 3.6366178509716907e-05, Refund 119.748, Cost 5.5937099080554115e-06
Mile Number: 85, Probability: 3.6366178509716907e-05, Refund 119.745, Cost 5.59715798012228e-06
Mile Number: 86, Probability: 3.6366178509716907e-05, Refund 119.742, Cost 5.60060809250007e-06
Mile Number: 87, Probability: 3.6366178509716907e-05, Refund 119.739, Cost 5.604060258315613e-06
Mile Number: 88, Probability: 3.6366178509716907e-05, Refund 119.736, Cost 5.60751447075436e-06
Mile Number: 89, Probability: 3.6366178509716907e-05, Refund 119.733, Cost 5.610970742941979e-06
Mile Number: 90, Probability: 3.6366178509716907e-05, Refund 119.73, Cost 5.614429061417403e-06
Mile Number: 91, Probability: 3.6366178509716907e-05, Refund 119.727, Cost 5.617889432659451e-06
Mile Number: 92, Probability: 3.6366178509716907e-05, Refund 119.724, Cost 5.621351863146274e-06
Mile Number: 93, Probability: 3.6366178509716907e-05, Refund 119.721, Cost 5.624816352709505e-06
Mile Number: 94, Probability: 3.6366178509716907e-05, Refund 119.718, Cost 5.628282894535097e-06
Mile Number: 95, Probability: 3.6366178509716907e-05, Refund 119.715, Cost 5.631751501746218e-06
Mile Number: 96, Probability: 3.6366178509716907e-05, Refund 119.712, Cost 5.635222167528653e-06
Mile Number: 97, Probability: 3.6366178509716907e-05, Refund 119.709, Cost 5.638694891714035e-06
Mile Number: 98, Probability: 3.6366178509716907e-05, Refund 119.706, Cost 5.642169680779019e-06
Mile Number: 99, Probability: 3.6366178509716907e-05, Refund 119.703, Cost 5.645646527909887e-06
Mile Number: 100, Probability: 3.6366178509716907e-05, Refund 119.7, Cost 5.6491254462276435e-06
Mile Number: 101, Probability: 3.6366178509716907e-05, Refund 119.697, Cost 5.6526064289184055e-06
Mile Number: 102, Probability: 3.6366178509716907e-05, Refund 119.694, Cost 5.656089475813308e-06
Mile Number: 103, Probability: 3.6366178509716907e-05, Refund 119.691, Cost 5.659574593387673e-06
Mile Number: 104, Probability: 3.6366178509716907e-05, Refund 119.688, Cost 5.663061781472134e-06
Mile Number: 105, Probability: 3.6366178509716907e-05, Refund 119.685, Cost 5.666551039897327e-06
Mile Number: 106, Probability: 3.6366178509716907e-05, Refund 119.682, Cost 5.670042368493888e-06
Mile Number: 107, Probability: 3.6366178509716907e-05, Refund 119.679, Cost 5.673535773735972e-06
Mile Number: 108, Probability: 3.6366178509716907e-05, Refund 119.676, Cost 5.6770312488103605e-06
Mile Number: 109, Probability: 3.6366178509716907e-05, Refund 119.673, Cost 5.680528800190876e-06
Mile Number: 110, Probability: 3.6366178509716907e-05, Refund 119.67, Cost 5.684028434350674e-06
Mile Number: 111, Probability: 3.6366178509716907e-05, Refund 119.667, Cost 5.687530137833685e-06
Mile Number: 112, Probability: 3.6366178509716907e-05, Refund 119.664, Cost 5.691033923755917e-06
Mile Number: 113, Probability: 3.6366178509716907e-05, Refund 119.661, Cost 5.694539791947007e-06
Mile Number: 114, Probability: 3.6366178509716907e-05, Refund 119.658, Cost 5.698047735594236e-06
Mile Number: 115, Probability: 3.6366178509716907e-05, Refund 119.655, Cost 5.701557767812115e-06
Mile Number: 116, Probability: 3.6366178509716907e-05, Refund 119.652, Cost 5.705069881787761e-06
Mile Number: 117, Probability: 3.6366178509716907e-05, Refund 119.649, Cost 5.708584083992663e-06
Mile Number: 118, Probability: 3.6366178509716907e-05, Refund 119.646, Cost 5.71210036761427e-06
Mile Number: 119, Probability: 3.6366178509716907e-05, Refund 119.643, Cost 5.71561873912374e-06
Mile Number: 120, Probability: 3.6366178509716907e-05, Refund 119.64, Cost 5.719139198350209e-06
Mile Number: 121, Probability: 3.6366178509716907e-05, Refund 119.637, Cost 5.722661751764002e-06
Mile Number: 122, Probability: 3.6366178509716907e-05, Refund 119.634, Cost 5.726186392552735e-06
Mile Number: 123, Probability: 3.6366178509716907e-05, Refund 119.631, Cost 5.7297131271863975e-06
Mile Number: 124, Probability: 3.6366178509716907e-05, Refund 119.628, Cost 5.733241948852941e-06
Mile Number: 125, Probability: 3.6366178509716907e-05, Refund 119.625, Cost 5.736772870662543e-06
Mile Number: 126, Probability: 3.6366178509716907e-05, Refund 119.622, Cost 5.740305885802987e-06
Mile Number: 127, Probability: 3.6366178509716907e-05, Refund 119.619, Cost 5.7438410007431e-06
Mile Number: 128, Probability: 3.6366178509716907e-05, Refund 119.616, Cost 5.747378215311017e-06
Mile Number: 129, Probability: 3.6366178509716907e-05, Refund 119.613, Cost 5.75091752269502e-06
Mile Number: 130, Probability: 3.6366178509716907e-05, Refund 119.61, Cost 5.754458936003126e-06
Mile Number: 131, Probability: 3.6366178509716907e-05, Refund 119.607, Cost 5.758002448423449e-06
Mile Number: 132, Probability: 3.6366178509716907e-05, Refund 119.604, Cost 5.761548066423483e-06
Mile Number: 133, Probability: 3.6366178509716907e-05, Refund 119.601, Cost 5.765095783191676e-06
Mile Number: 134, Probability: 3.6366178509716907e-05, Refund 119.598, Cost 5.768645605195188e-06
Mile Number: 135, Probability: 3.6366178509716907e-05, Refund 119.595, Cost 5.772197538900514e-06
Mile Number: 136, Probability: 3.6366178509716907e-05, Refund 119.592, Cost 5.775751577496102e-06
Mile Number: 137, Probability: 3.6366178509716907e-05, Refund 119.589, Cost 5.779307727448113e-06
Mile Number: 138, Probability: 3.6366178509716907e-05, Refund 119.586, Cost 5.782865981945329e-06
Mile Number: 139, Probability: 3.6366178509716907e-05, Refund 119.583, Cost 5.786426354091767e-06
Mile Number: 140, Probability: 3.6366178509716907e-05, Refund 119.58, Cost 5.789988830438019e-06
Mile Number: 141, Probability: 3.6366178509716907e-05, Refund 119.577, Cost 5.793553430725295e-06
Mile Number: 142, Probability: 3.6366178509716907e-05, Refund 119.574, Cost 5.7971201348666624e-06
Mile Number: 143, Probability: 3.6366178509716907e-05, Refund 119.571, Cost 5.800688962602329e-06
Mile Number: 144, Probability: 3.6366178509716907e-05, Refund 119.568, Cost 5.804259907121078e-06
Mile Number: 145, Probability: 3.6366178509716907e-05, Refund 119.565, Cost 5.8078329682495485e-06
Mile Number: 146, Probability: 3.6366178509716907e-05, Refund 119.562, Cost 5.811408145814378e-06
Mile Number: 147, Probability: 3.6366178509716907e-05, Refund 119.559, Cost 5.814985452915922e-06
Mile Number: 148, Probability: 3.6366178509716907e-05, Refund 119.556, Cost 5.818564876106435e-06
Mile Number: 149, Probability: 3.6366178509716907e-05, Refund 119.553, Cost 5.822146421849084e-06
Mile Number: 150, Probability: 3.6366178509716907e-05, Refund 119.55, Cost 5.8257300899700045e-06
Mile Number: 151, Probability: 3.6366178509716907e-05, Refund 119.547, Cost 5.82931588693153e-06
Mile Number: 152, Probability: 3.6366178509716907e-05, Refund 119.544, Cost 5.832903812559298e-06
Mile Number: 153, Probability: 3.6366178509716907e-05, Refund 119.541, Cost 5.836493866678949e-06
Mile Number: 154, Probability: 3.6366178509716907e-05, Refund 119.538, Cost 5.840086049116122e-06
Mile Number: 155, Probability: 3.6366178509716907e-05, Refund 119.535, Cost 5.843680359696457e-06
Mile Number: 156, Probability: 3.6366178509716907e-05, Refund 119.532, Cost 5.8472768048809516e-06
Mile Number: 157, Probability: 3.6366178509716907e-05, Refund 119.529, Cost 5.850875377859555e-06
Mile Number: 158, Probability: 3.6366178509716907e-05, Refund 119.526, Cost 5.854476091727956e-06
Mile Number: 159, Probability: 3.6366178509716907e-05, Refund 119.523, Cost 5.858078933041077e-06
Mile Number: 160, Probability: 3.6366178509716907e-05, Refund 119.52, Cost 5.861683914893944e-06
Mile Number: 161, Probability: 3.6366178509716907e-05, Refund 119.517, Cost 5.865291037111198e-06
Mile Number: 162, Probability: 3.6366178509716907e-05, Refund 119.514, Cost 5.868900299517476e-06
Mile Number: 163, Probability: 3.6366178509716907e-05, Refund 119.511, Cost 5.872511695303228e-06
Mile Number: 164, Probability: 3.6366178509716907e-05, Refund 119.508, Cost 5.876125237561647e-06
Mile Number: 165, Probability: 3.6366178509716907e-05, Refund 119.505, Cost 5.879740919483012e-06
Mile Number: 166, Probability: 3.6366178509716907e-05, Refund 119.502, Cost 5.8833587475256575e-06
Mile Number: 167, Probability: 3.6366178509716907e-05, Refund 119.499, Cost 5.8869787215137246e-06
Mile Number: 168, Probability: 3.6366178509716907e-05, Refund 119.496, Cost 5.890600841271354e-06
Mile Number: 169, Probability: 3.6366178509716907e-05, Refund 119.493, Cost 5.894225106622686e-06
Mile Number: 170, Probability: 3.6366178509716907e-05, Refund 119.49, Cost 5.897851524024888e-06
Mile Number: 171, Probability: 3.6366178509716907e-05, Refund 119.487, Cost 5.901480086668742e-06
Mile Number: 172, Probability: 3.6366178509716907e-05, Refund 119.484, Cost 5.905110807643776e-06
Mile Number: 173, Probability: 3.6366178509716907e-05, Refund 119.481, Cost 5.908743673508077e-06
Mile Number: 174, Probability: 3.6366178509716907e-05, Refund 119.478, Cost 5.912378697350506e-06
Mile Number: 175, Probability: 3.6366178509716907e-05, Refund 119.475, Cost 5.916015872362012e-06
Mile Number: 176, Probability: 3.6366178509716907e-05, Refund 119.472, Cost 5.919655204998264e-06
Mile Number: 177, Probability: 3.6366178509716907e-05, Refund 119.469, Cost 5.923296695082403e-06
Mile Number: 178, Probability: 3.6366178509716907e-05, Refund 119.466, Cost 5.926940349069265e-06
Mile Number: 179, Probability: 3.6366178509716907e-05, Refund 119.463, Cost 5.9305861535184355e-06
Mile Number: 180, Probability: 3.6366178509716907e-05, Refund 119.46, Cost 5.934234128147641e-06
Mile Number: 181, Probability: 3.6366178509716907e-05, Refund 119.457, Cost 5.937884259516634e-06
Mile Number: 182, Probability: 3.6366178509716907e-05, Refund 119.454, Cost 5.941536554079585e-06
Mile Number: 183, Probability: 3.6366178509716907e-05, Refund 119.451, Cost 5.945191018289997e-06
Mile Number: 184, Probability: 3.6366178509716907e-05, Refund 119.448, Cost 5.948847638708621e-06
Mile Number: 185, Probability: 3.6366178509716907e-05, Refund 119.445, Cost 5.952506435050187e-06
Mile Number: 186, Probability: 3.6366178509716907e-05, Refund 119.442, Cost 5.956167400505974e-06
Mile Number: 187, Probability: 3.6366178509716907e-05, Refund 119.439, Cost 5.959830528267928e-06
Mile Number: 188, Probability: 3.6366178509716907e-05, Refund 119.436, Cost 5.963495831418753e-06
Mile Number: 189, Probability: 3.6366178509716907e-05, Refund 119.433, Cost 5.967163303150225e-06
Mile Number: 190, Probability: 3.6366178509716907e-05, Refund 119.43, Cost 5.970832956543882e-06
Mile Number: 191, Probability: 3.6366178509716907e-05, Refund 119.427, Cost 5.974504778161805e-06
Mile Number: 192, Probability: 3.6366178509716907e-05, Refund 119.424, Cost 5.9781787744555005e-06
Mile Number: 193, Probability: 3.6366178509716907e-05, Refund 119.421, Cost 5.981854951875809e-06
Mile Number: 194, Probability: 3.6366178509716907e-05, Refund 119.418, Cost 5.985533303614843e-06
Mile Number: 195, Probability: 3.6366178509716907e-05, Refund 119.415, Cost 5.989213836123109e-06
Mile Number: 196, Probability: 3.6366178509716907e-05, Refund 119.412, Cost 5.992896549221749e-06
Mile Number: 197, Probability: 3.6366178509716907e-05, Refund 119.409, Cost 5.996581449360439e-06
Mile Number: 198, Probability: 3.6366178509716907e-05, Refund 119.406, Cost 6.000268523103092e-06
Mile Number: 199, Probability: 3.6366178509716907e-05, Refund 119.403, Cost 6.0039577901559456e-06
Mile Number: 200, Probability: 3.6366178509716907e-05, Refund 119.4, Cost 6.007649237083079e-06
Mile Number: 201, Probability: 3.6366178509716907e-05, Refund 119.397, Cost 6.011342876961368e-06
Mile Number: 202, Probability: 3.6366178509716907e-05, Refund 119.394, Cost 6.015038696355557e-06
Mile Number: 203, Probability: 3.6366178509716907e-05, Refund 119.391, Cost 6.0187367149693865e-06
Mile Number: 204, Probability: 3.6366178509716907e-05, Refund 119.388, Cost 6.022436919367769e-06
Mile Number: 205, Probability: 3.6366178509716907e-05, Refund 119.385, Cost 6.026139315998547e-06
Mile Number: 206, Probability: 3.6366178509716907e-05, Refund 119.382, Cost 6.029843904681864e-06
Mile Number: 207, Probability: 3.6366178509716907e-05, Refund 119.379, Cost 6.033550685237865e-06
Mile Number: 208, Probability: 3.6366178509716907e-05, Refund 119.376, Cost 6.037259670740092e-06
Mile Number: 209, Probability: 3.6366178509716907e-05, Refund 119.373, Cost 6.0409708477546234e-06
Mile Number: 210, Probability: 3.6366178509716907e-05, Refund 119.37, Cost 6.044684222727969e-06
Mile Number: 211, Probability: 3.6366178509716907e-05, Refund 119.367, Cost 6.048399795479775e-06
Mile Number: 212, Probability: 3.6366178509716907e-05, Refund 119.364, Cost 6.052117565829685e-06
Mile Number: 213, Probability: 3.6366178509716907e-05, Refund 119.361, Cost 6.0558375468490744e-06
Mile Number: 214, Probability: 3.6366178509716907e-05, Refund 119.358, Cost 6.05955972510519e-06
Mile Number: 215, Probability: 3.6366178509716907e-05, Refund 119.355, Cost 6.06328410704321e-06
Mile Number: 216, Probability: 3.6366178509716907e-05, Refund 119.352, Cost 6.067010699107645e-06
Mile Number: 217, Probability: 3.6366178509716907e-05, Refund 119.349, Cost 6.0707394944919394e-06
Mile Number: 218, Probability: 3.6366178509716907e-05, Refund 119.346, Cost 6.074470499640272e-06
Mile Number: 219, Probability: 3.6366178509716907e-05, Refund 119.343, Cost 6.078203714371289e-06
Mile Number: 220, Probability: 3.6366178509716907e-05, Refund 119.34, Cost 6.081939145128335e-06
Mile Number: 221, Probability: 3.6366178509716907e-05, Refund 119.337, Cost 6.0856767784804865e-06
Mile Number: 222, Probability: 3.6366178509716907e-05, Refund 119.334, Cost 6.089416627495625e-06
Mile Number: 223, Probability: 3.6366178509716907e-05, Refund 119.331, Cost 6.093158691991896e-06
Mile Number: 224, Probability: 3.6366178509716907e-05, Refund 119.328, Cost 6.096902971787443e-06
Mile Number: 225, Probability: 3.6366178509716907e-05, Refund 119.325, Cost 6.100649473324282e-06
Mile Number: 226, Probability: 3.6366178509716907e-05, Refund 119.322, Cost 6.104398189796356e-06
Mile Number: 227, Probability: 3.6366178509716907e-05, Refund 119.319, Cost 6.108149121021811e-06
Mile Number: 228, Probability: 3.6366178509716907e-05, Refund 119.316, Cost 6.111902280065529e-06
Mile Number: 229, Probability: 3.6366178509716907e-05, Refund 119.313, Cost 6.115657660121454e-06
Mile Number: 230, Probability: 3.6366178509716907e-05, Refund 119.31, Cost 6.119415261007233e-06
Mile Number: 231, Probability: 3.6366178509716907e-05, Refund 119.307, Cost 6.1231750825405105e-06
Mile Number: 232, Probability: 3.6366178509716907e-05, Refund 119.304, Cost 6.126937137784338e-06
Mile Number: 233, Probability: 3.6366178509716907e-05, Refund 119.301, Cost 6.130701413310291e-06
Mile Number: 234, Probability: 3.6366178509716907e-05, Refund 119.298, Cost 6.134467922180753e-06
Mile Number: 235, Probability: 3.6366178509716907e-05, Refund 119.295, Cost 6.138236657590168e-06
Mile Number: 236, Probability: 3.6366178509716907e-05, Refund 119.292, Cost 6.142007625977719e-06
Mile Number: 237, Probability: 3.6366178509716907e-05, Refund 119.289, Cost 6.1457808271600525e-06
Mile Number: 238, Probability: 3.6366178509716907e-05, Refund 119.286, Cost 6.149556260953815e-06
Mile Number: 239, Probability: 3.6366178509716907e-05, Refund 119.283, Cost 6.1533339271756526e-06
Mile Number: 240, Probability: 3.6366178509716907e-05, Refund 119.28, Cost 6.157113832263583e-06
Mile Number: 241, Probability: 3.6366178509716907e-05, Refund 119.277, Cost 6.16089596941255e-06
Mile Number: 242, Probability: 3.6366178509716907e-05, Refund 119.274, Cost 6.164680351681273e-06
Mile Number: 243, Probability: 3.6366178509716907e-05, Refund 119.271, Cost 6.1684669722645304e-06
Mile Number: 244, Probability: 3.6366178509716907e-05, Refund 119.268, Cost 6.172255830978468e-06
Mile Number: 245, Probability: 3.6366178509716907e-05, Refund 119.265, Cost 6.1760469342597715e-06
Mile Number: 246, Probability: 3.6366178509716907e-05, Refund 119.262, Cost 6.1798402753037166e-06
Mile Number: 247, Probability: 3.6366178509716907e-05, Refund 119.259, Cost 6.183635867166859e-06
Mile Number: 248, Probability: 3.6366178509716907e-05, Refund 119.256, Cost 6.187433703044309e-06
Mile Number: 249, Probability: 3.6366178509716907e-05, Refund 119.253, Cost 6.191233789371586e-06
Mile Number: 250, Probability: 3.6366178509716907e-05, Refund 119.25, Cost 6.195036119344133e-06
Mile Number: 251, Probability: 3.6366178509716907e-05, Refund 119.247, Cost 6.198840706016673e-06
Mile Number: 252, Probability: 3.6366178509716907e-05, Refund 119.244, Cost 6.202647535965111e-06
Mile Number: 253, Probability: 3.6366178509716907e-05, Refund 119.241, Cost 6.206456622243506e-06
Mile Number: 254, Probability: 3.6366178509716907e-05, Refund 119.238, Cost 6.210267964666505e-06
Mile Number: 255, Probability: 3.6366178509716907e-05, Refund 119.235, Cost 6.214081556429884e-06
Mile Number: 256, Probability: 3.6366178509716907e-05, Refund 119.232, Cost 6.2178974105862035e-06
Mile Number: 257, Probability: 3.6366178509716907e-05, Refund 119.229, Cost 6.221715520331073e-06
Mile Number: 258, Probability: 3.6366178509716907e-05, Refund 119.226, Cost 6.225535885479139e-06
Mile Number: 259, Probability: 3.6366178509716907e-05, Refund 119.223, Cost 6.2293585190814626e-06
Mile Number: 260, Probability: 3.6366178509716907e-05, Refund 119.22, Cost 6.2331834077156145e-06
Mile Number: 261, Probability: 3.6366178509716907e-05, Refund 119.217, Cost 6.237010557814115e-06
Mile Number: 262, Probability: 3.6366178509716907e-05, Refund 119.214, Cost 6.24083997580882e-06
Mile Number: 263, Probability: 3.6366178509716907e-05, Refund 119.211, Cost 6.244671654895839e-06
Mile Number: 264, Probability: 3.6366178509716907e-05, Refund 119.208, Cost 6.248505601506693e-06
Mile Number: 265, Probability: 3.6366178509716907e-05, Refund 119.205, Cost 6.252341822072238e-06
Mile Number: 266, Probability: 3.6366178509716907e-05, Refund 119.202, Cost 6.256180303171543e-06
Mile Number: 267, Probability: 3.6366178509716907e-05, Refund 119.199, Cost 6.260021064469379e-06
Mile Number: 268, Probability: 3.6366178509716907e-05, Refund 119.196, Cost 6.263864085928272e-06
Mile Number: 269, Probability: 3.6366178509716907e-05, Refund 119.193, Cost 6.267709387211995e-06
Mile Number: 270, Probability: 3.6366178509716907e-05, Refund 119.19, Cost 6.271556961516822e-06
Mile Number: 271, Probability: 3.6366178509716907e-05, Refund 119.187, Cost 6.275406815272111e-06
Mile Number: 272, Probability: 3.6366178509716907e-05, Refund 119.184, Cost 6.2792589416744705e-06
Mile Number: 273, Probability: 3.6366178509716907e-05, Refund 119.181, Cost 6.2831133471529244e-06
Mile Number: 274, Probability: 3.6366178509716907e-05, Refund 119.178, Cost 6.286970031520123e-06
Mile Number: 275, Probability: 3.6366178509716907e-05, Refund 119.175, Cost 6.290828994588715e-06
Mile Number: 276, Probability: 3.6366178509716907e-05, Refund 119.172, Cost 6.294690242786727e-06
Mile Number: 277, Probability: 3.6366178509716907e-05, Refund 119.169, Cost 6.2985537759263075e-06
Mile Number: 278, Probability: 3.6366178509716907e-05, Refund 119.166, Cost 6.302419593819608e-06
Mile Number: 279, Probability: 3.6366178509716907e-05, Refund 119.163, Cost 6.306287696278778e-06
Mile Number: 280, Probability: 3.6366178509716907e-05, Refund 119.16, Cost 6.310158083115969e-06
Mile Number: 281, Probability: 3.6366178509716907e-05, Refund 119.157, Cost 6.3140307607578715e-06
Mile Number: 282, Probability: 3.6366178509716907e-05, Refund 119.154, Cost 6.317905729016138e-06
Mile Number: 283, Probability: 3.6366178509716907e-05, Refund 119.151, Cost 6.321782987702418e-06
